City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Port Hardy,CA,50.7,-127.42,41.0,93,75,6.93,broken clouds
277,Andenes,NO,69.31,16.12,33.8,64,0,13.87,clear sky
278,Kraskino,RU,42.71,130.78,53.02,86,73,7.29,broken clouds
279,Ochakiv,UA,46.61,31.55,59.0,71,40,13.42,scattered clouds
280,Yadgir,IN,16.77,77.13,74.82,92,100,3.8,light rain
281,Catamarca,AR,-28.47,-65.79,73.99,80,53,1.99,broken clouds
282,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,35.6,47,0,13.42,clear sky
283,Katherine,AU,-14.47,132.27,82.4,65,33,6.93,scattered clouds
284,Sabha,LY,27.04,14.43,83.03,29,100,3.89,overcast clouds
285,Namatanai,PG,-3.67,152.43,79.16,78,58,3.31,broken clouds
286,Gotsu,JP,35.0,132.22,61.72,82,93,4.14,overcast clouds
287,Ahipara,NZ,-35.17,173.17,58.64,82,100,5.19,overcast clouds
288,Grand Gaube,MU,-20.01,57.66,75.0,70,14,8.99,few clouds
289,Umm Lajj,SA,25.02,37.27,82.36,56,0,5.23,clear sky
290,Pokhara,NP,28.23,83.98,66.11,58,0,4.38,clear sky
291,Santiago Del Estero,AR,-27.8,-64.26,67.06,69,97,7.38,overcast clouds
292,Hirara,JP,24.8,125.28,78.91,90,100,16.24,moderate rain
293,Koindu,GN,8.44,-10.33,81.77,77,96,1.59,light rain
294,Saint-Joseph,RE,-21.37,55.62,75.2,69,37,18.34,scattered clouds
295,Ikalamavony,MG,-21.15,46.58,73.58,52,33,10.25,scattered clouds
296,Severo-Yeniseyskiy,RU,60.37,93.04,35.73,94,100,10.09,overcast clouds
297,Gigmoto,PH,13.78,124.39,81.46,83,94,10.51,overcast clouds
298,At-Bashi,KG,41.17,75.81,39.88,59,0,1.25,clear sky
299,Koungou,YT,-12.73,45.2,80.6,74,1,10.29,clear sky
300,Aktau,KZ,43.65,51.2,46.4,70,40,6.71,scattered clouds
301,Laguna,US,38.42,-121.42,64.99,59,1,0.56,clear sky
302,Kulhudhuffushi,MV,6.62,73.07,82.06,79,12,12.57,light rain
303,Mantua,IT,45.17,10.78,61.0,86,52,3.89,broken clouds
304,Grande Prairie,CA,55.17,-118.8,14.0,78,75,8.05,broken clouds
305,Saint Anthony,US,45.02,-93.22,35.6,69,20,9.17,few clouds
306,Jijiga,ET,9.35,42.8,71.15,27,47,11.92,scattered clouds
307,Dese,ET,11.13,39.63,52.97,65,44,0.87,scattered clouds
308,Rustenburg,ZA,-25.67,27.24,84.06,21,28,14.18,scattered clouds
309,Inhambane,MZ,-23.86,35.38,78.8,69,20,11.41,few clouds
310,Berlevag,NO,70.86,29.09,28.4,92,90,13.87,overcast clouds
311,Santa Maria,BR,-29.68,-53.81,78.71,60,62,13.06,broken clouds
312,Vardo,NO,70.37,31.11,28.4,92,71,19.46,fog
313,Flinders,AU,-34.58,150.86,61.0,86,100,1.01,overcast clouds
314,Bonanza,NI,14.03,-84.59,88.36,54,31,2.33,scattered clouds
315,Jadu,LY,31.95,12.03,73.08,23,0,7.09,clear sky
316,Cascais,PT,38.7,-9.42,64.99,77,40,9.17,shower rain
317,Sorrento,IT,40.63,14.37,68.0,52,20,5.82,few clouds
318,Birao,CF,10.28,22.79,84.25,37,2,1.59,clear sky
319,Lasa,IT,46.62,10.7,54.0,81,40,8.05,scattered clouds
320,Tabligbo,TG,6.58,1.5,86.0,74,20,10.29,few clouds
321,Aklavik,CA,68.22,-135.01,12.2,92,75,4.7,broken clouds
322,Jequie,BR,-13.86,-40.08,94.41,27,41,6.42,scattered clouds
323,Ulaanbaatar,MN,47.91,106.88,12.2,78,1,2.24,clear sky
324,Altay,CN,47.87,88.12,43.16,48,24,5.93,few clouds
325,Malkapur,IN,20.88,76.2,79.68,76,60,5.12,broken clouds
326,Bonthe,SL,7.53,-12.51,82.47,76,100,7.83,moderate rain
327,Doha,QA,25.29,51.53,84.2,62,0,5.82,clear sky
328,Gazli,UZ,40.13,63.45,59.36,46,55,12.8,broken clouds
329,Awbari,LY,26.59,12.78,86.07,23,36,7.92,scattered clouds
330,Port-Gentil,GA,-0.72,8.78,82.4,78,40,11.41,scattered clouds
331,Dakar,SN,14.69,-17.44,91.4,63,82,9.17,broken clouds
332,Balkhash,KZ,46.84,74.98,54.73,41,0,14.5,clear sky
333,Lavrentiya,RU,65.58,-171.0,35.83,85,0,5.28,clear sky
334,Touros,BR,-5.2,-35.46,82.4,74,75,21.92,broken clouds
335,Sioux Lookout,CA,50.1,-91.92,30.2,92,90,2.24,overcast clouds
336,Coxim,BR,-18.51,-54.76,90.99,43,98,4.92,overcast clouds
337,Luang Prabang,LA,19.89,102.13,68.41,78,18,1.74,few clouds
338,Gamba,GA,-2.65,10.0,79.25,79,59,9.95,broken clouds
339,Bibiani,GH,6.46,-2.32,89.74,46,82,4.16,broken clouds
340,Sao Filipe,CV,14.9,-24.5,84.79,62,0,2.37,clear sky
341,Soavinandriana,MG,-19.17,46.73,72.86,41,50,6.62,scattered clouds
342,Asilah,MA,35.47,-6.03,71.6,68,75,8.05,broken clouds
343,Nyagan,RU,62.14,65.39,27.55,97,90,3.94,overcast clouds
344,Coari,BR,-4.08,-63.14,95.97,41,79,5.64,broken clouds
345,Eureka,US,40.8,-124.16,52.0,100,90,6.62,mist
346,Kariba,ZW,-16.52,28.8,91.15,24,9,9.51,clear sky
347,Provideniya,RU,64.38,-173.3,35.06,93,21,0.89,few clouds
348,Sigiriya,LK,7.95,80.74,77.2,80,39,12.19,scattered clouds
349,Zongolica,MX,18.67,-96.98,77.63,47,100,3.18,overcast clouds
350,Nuuk,GL,64.18,-51.72,32.0,94,40,4.7,shower rain
351,Seoul,KR,37.57,126.98,53.6,93,75,5.91,broken clouds
352,Korcula,HR,42.96,17.14,62.6,51,62,2.24,broken clouds
353,Itarema,BR,-2.92,-39.92,88.52,53,7,19.71,clear sky
354,Dalmau,IN,26.07,81.03,76.64,29,0,1.97,clear sky
355,Rosetta,EG,31.4,30.42,77.0,61,20,8.05,few clouds
356,Verkhnyaya Inta,RU,65.98,60.31,20.14,98,100,4.38,light snow
357,Gweta,BW,-20.18,25.23,95.43,10,0,9.26,clear sky
358,Salalah,OM,17.02,54.09,82.4,83,8,3.36,clear sky
359,Clyde River,CA,70.47,-68.59,26.6,73,90,4.7,overcast clouds
360,Pochutla,MX,15.74,-96.47,88.0,66,20,3.11,few clouds
361,Kyren,RU,51.68,102.14,30.25,85,19,2.93,few clouds
362,Sur,OM,22.57,59.53,77.29,64,1,8.46,clear sky
363,Saint-Pierre,RE,-21.34,55.48,75.2,69,39,18.34,scattered clouds
364,Boa Vista,BR,2.82,-60.67,95.0,41,75,9.17,broken clouds
365,Souillac,MU,-20.52,57.52,75.2,73,40,13.87,scattered clouds
